id,builder_group,high_triangles,low_triangles,high_gear_triangles,low_gear_triangles,configured_return_stations_high,configured_return_stations_low,shared_roller_tire_instances_high,shared_roller_tire_instances_low,wheel_pattern_status,wheel_finish_flags,rest_wrap_status,animated_stock_fit,country_tread_match,closure_visuals,material_visuals,next_action
tiger1,ww2,95018,80750,76304,64528,0,0,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Inspect actual merged roller stock and reference eligibility
panther_g,base,70504,61804,57208,50808,0,0,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Inspect actual merged roller stock and reference eligibility
m1a1,abrams,98936,79636,73528,56472,2,2,4,4,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
m1a1ha,abrams,110042,90742,73528,56472,2,2,4,4,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
m1a2,abrams,110376,91076,73528,56472,2,2,4,4,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
m1a2_tusk,abrams,119188,99888,73528,56472,2,2,4,4,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
m1a2_sepv2,abrams,113252,93952,73528,56472,2,2,4,4,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
m1a2_sepv3,abrams,126086,106786,73528,56472,2,2,4,4,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
m1a3,abrams,83208,75368,61232,55136,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
abramsx,abrams,92476,84258,56776,51256,2,2,4,4,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t62mv1,russia,64392,59864,49972,46148,0,0,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t64bv1,russia,74424,67288,51340,45804,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t72b3m,t72,110210,103142,56680,51432,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t72bu,t72,76092,68950,52552,47304,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
pt91m,t90,77110,71164,51780,46532,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t80,t80,67274,60806,51380,45556,5,5,10,10,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t80b,t80,67882,61412,51380,45556,5,5,10,10,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t80bv,t80,78050,70796,51380,45556,5,5,10,10,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t80u,misc,77270,69710,54512,48688,5,5,10,10,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
